name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-09-01,97.1,73.1,84.5,105.1,73.1,90.3,74.8,76.1,0,0,0,,0,0,21.9,16.1,173.4,1008.3,35,8.6,236.2,20.3,8,,2021-09-01T07:07:40,2021-09-01T19:52:58,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-02,97.1,75.8,84.5,103.4,75.8,88.8,74.1,75.1,0,0,0,,0,0,26.4,15,158.8,1010.7,45,8.8,195.7,17,7,,2021-09-02T07:08:13,2021-09-02T19:51:47,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-03,96.2,73.1,82.4,101.5,73.1,85.7,72.2,74.7,0.012,100,4.17,rain,0,0,25.3,12.7,163.6,1012.5,36.6,9.8,209.7,18,8,,2021-09-03T07:08:46,2021-09-03T19:50:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-04,94.9,72,83.4,99.7,72,86,70.2,68.8,0,0,0,,0,0,21.9,13.9,188.7,1012.5,25.2,9.5,230.6,20,8,,2021-09-04T07:09:19,2021-09-04T19:49:22,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-05,99,70.1,84.7,103.1,70.1,86.6,68,62.4,0,0,0,,0,0,36.9,20.8,215.9,1012,38.2,9.8,236.5,20.5,8,,2021-09-05T07:09:52,2021-09-05T19:48:09,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-06,97.1,74.9,80.8,105.3,74.9,82.7,69.9,71.1,0.106,100,8.33,rain,0,0,28.2,16.1,221.1,1013,75.6,9.7,156.2,13.4,7,,2021-09-06T07:10:24,2021-09-06T19:46:56,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72253912979,KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-07,94.9,71.1,81.2,98.3,71.1,83.1,68.9,69.9,0,0,0,,0,0,12.5,10.3,37.5,1012.1,64.3,9.9,166.6,14.2,5,,2021-09-07T07:10:57,2021-09-07T19:45:42,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-08,98.1,64.1,79.8,96.2,64.1,79.8,61.7,61.6,0,0,0,,0,0,24.4,17.2,33.1,1012.6,35.5,9.7,232.7,19.9,8,,2021-09-08T07:11:30,2021-09-08T19:44:28,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-09,93.8,62.1,78.9,92.8,62.1,78.4,58.4,54.8,0,0,0,,0,0,25.3,15,25.5,1015,11.5,9.9,236.7,20.3,8,,2021-09-09T07:12:02,2021-09-09T19:43:14,0.1,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-10,92,62.1,75.6,91,62.1,75.6,57.2,56.1,0,0,0,,0,0,17.2,10.3,40.5,1016.5,12.6,9.8,215.2,18.5,8,,2021-09-10T07:12:35,2021-09-10T19:41:59,0.13,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
